"gene","vglut2_clusters","galr1"
"Fxr2",0.28252032520325204,0.5555555555555556
"Katna1",0.14634146341463414,0
"Cib1",0.018292682926829267,0
"Twf2",0.10975609756097561,0.1111111111111111
"Map3k12",0.30284552845528456,0.8888888888888888
"Pclo",0.8089430894308943,1
"Csnk1e",0.241869918699187,0.3333333333333333
"Iqgap1",0.4369918699186992,0.5555555555555556
"Tor1a",0.07520325203252033,0.1111111111111111
"Tmod2",0.49390243902439024,0.7777777777777778
"Tnk2",0.30691056910569103,0.5555555555555556
"Rufy3",0.6504065040650406,0.8888888888888888
"Dlg3",0.23780487804878048,0.5555555555555556
"Arhgef7",0.4898373983739837,0.5555555555555556
"Copg2",0.47764227642276424,0.7777777777777778
"Ptbp2",0.5203252032520326,0.8888888888888888
"Dbn1",0.532520325203252,0.7777777777777778
"Rapgef4",0.6158536585365854,0.8888888888888888
"Tpm3",0.3516260162601626,0.5555555555555556
"Trpv4",0.006097560975609756,0
"Ctsz",0.012195121951219513,0
"Tsc1",0.40040650406504064,0.6666666666666666
"Lrrk2",0.13821138211382114,0.3333333333333333
"Ppp1r2",0.23373983739837398,0.5555555555555556
"Syap1",0.22560975609756098,0.4444444444444444
"Arpc5",0.1524390243902439,0.3333333333333333
"Pink1",0.08943089430894309,0.3333333333333333
"Dctn2",0.2804878048780488,0.3333333333333333
"Myh14",0.06707317073170732,0.2222222222222222
"Palld",0.24390243902439024,0.6666666666666666
"Crtac1",0.4695121951219512,0.7777777777777778
"Katnb1",0.13008130081300814,0.3333333333333333
"Hnrnpr",0.47764227642276424,0.7777777777777778
"Lrrtm1",0.3008130081300813,0.6666666666666666
"Arpc2",0.3333333333333333,0.4444444444444444
"Sirt1",0.12804878048780488,0.3333333333333333
"Dtnbp1",0.2804878048780488,0.4444444444444444
"Wdr47",0.36585365853658536,0.6666666666666666
"Sncb",0.16260162601626016,0
"Orai1",0.08739837398373984,0.2222222222222222
"Acap3",0.19308943089430894,0.3333333333333333
"Snx18",0.11382113821138211,0.1111111111111111
"Rac3",0.3089430894308943,0.3333333333333333
"Inpp5j",0.10975609756097561,0
"Arhgap4",0.018292682926829267,0
"Dicer1",0.4329268292682927,0.5555555555555556
"Flna",0.42276422764227645,0.7777777777777778
"Shank2",0.6463414634146342,0.6666666666666666
"Pcdh9",0.9532520325203252,1
"Git1",0.11382113821138211,0.2222222222222222
"Ppp1r9b",0.1483739837398374,0.2222222222222222
"Rapgef3",0.21747967479674796,0.2222222222222222
"Abitram",0.056910569105691054,0
"Ssh1",0.1951219512195122,0.3333333333333333
"Fez1",0.3252032520325203,0.1111111111111111
"Erc2",0.8353658536585366,0.7777777777777778
"Slc2a13",0.6260162601626016,0.6666666666666666
"Zfp804a",0.6524390243902439,0.7777777777777778
"Ppp1r9a",0.6890243902439024,0.7777777777777778
"Tshz3",0.19308943089430894,0.1111111111111111
"Setx",0.41260162601626016,0.5555555555555556
"Lrig2",0.3333333333333333,0.6666666666666666
"Orai2",0.11382113821138211,0.2222222222222222
"Adcy10",0.16056910569105692,0.3333333333333333
"Prex1",0.20121951219512196,0.2222222222222222
"Auts2",0.9471544715447154,1
"Adgrl1",0.5142276422764228,0.7777777777777778
"Fkbp15",0.18902439024390244,0.4444444444444444
"Frmd7",0.0020325203252032522,0.1111111111111111
"Myo1a",0.012195121951219513,0
