p_val,avg_log10FC,pct.1,pct.2,p_val_adj,cluster,gene
2.3159684214657287e-15,0.35102880793650554,0.523,0.214,4.907305488243733e-11,5,Sept4
2.4241033664268804e-15,0.47932195637561925,0.262,0.01,5.136432623121917e-11,5,Col1a1
2.4748101771279472e-15,0.516488449342275,0.585,0.137,5.2438752843164074e-11,5,Gm15261
2.7773294968907227e-15,0.41559840439406914,0.431,0.114,5.884883470961752e-11,5,Gjc1
3.148499980398045e-15,0.37114303742785715,0.846,0.646,6.671356608465417e-11,5,Pten
3.655297097481152e-15,0.3735395849207531,0.646,0.356,7.745209019852812e-11,5,Mpzl1
5.492909799133922e-15,0.46383746423469574,0.385,0.057,1.1638926573384867e-10,5,Piezo2
5.780832242839275e-15,0.4021499536840199,0.446,0.14,1.224900543935214e-10,5,Palmd
5.9094796686777334e-15,0.8571195318810638,0.615,0.262,1.252159646996125e-10,5,Adam12
7.740269794596928e-15,0.47163876141137673,0.692,0.297,1.6400857667771431e-10,5,Wwtr1
8.340573256829519e-15,0.26218745831742096,0.354,0.027,1.7672840673896068e-10,5,Lcp1
8.386464037505073e-15,0.3168546081780533,0.662,0.392,1.7770078649069498e-10,5,Gm29237
9.12638234496218e-15,0.25308758049845725,0.462,0.08,1.9337891550740363e-10,5,Ggta1
9.736965026907645e-15,0.5695758122351748,0.4,0.037,2.063165519551461e-10,5,Cfh
1.0489579689073686e-14,0.2686197653164457,0.385,0.082,2.2226370403178233e-10,5,Dennd3
1.149375257006603e-14,0.6692051343602681,0.292,0.02,2.435411232071291e-10,5,Slc6a13
1.1995803567784963e-14,0.2659195348545266,0.462,0.175,2.5417908179779556e-10,5,Abcg2
1.2510485142953429e-14,0.2208123715729821,0.246,0.01,2.650846696940402e-10,5,Abcc6
1.2867303796501007e-14,0.2990499697546136,0.769,0.481,2.7264530014405985e-10,5,Stard9
1.3935734761276899e-14,0.4054855540078853,0.785,0.437,2.952842838566962e-10,5,Ctnna1
1.4081934123499097e-14,0.44536673810598043,0.692,0.407,2.983821021428224e-10,5,Heg1
1.755253438727389e-14,0.24312814974705413,0.369,0.02,3.7192065113194646e-10,5,Stab1
1.7821423309032504e-14,0.4100801611485405,0.769,0.331,3.776181384950897e-10,5,Itpr2
1.8150479987734007e-14,0.37313663707750533,0.938,0.786,3.845905204600959e-10,5,Tcf12
1.9676499540982293e-14,0.38702409652284575,0.877,0.78,4.169253487738738e-10,5,Mast4
2.0105724232302938e-14,0.24031032278051245,0.354,0.058,4.2602019075826697e-10,5,Podxl
2.173402329975456e-14,0.35122495060765135,0.585,0.317,4.605222196984994e-10,5,Akap12
2.6401342353546718e-14,0.21993147374557426,0.431,0.093,5.594180431293014e-10,5,Piezo1
2.870171143721224e-14,0.3962840549145909,0.831,0.513,6.081605636430902e-10,5,Maml3
4.195065754918924e-14,0.5828807281925961,0.615,0.504,8.888924828097707e-10,5,Myo10
5.1073601657275794e-14,0.33803584360251276,0.615,0.239,1.0821985455160169e-9,5,Serinc3
5.459944491684096e-14,0.3172692177969675,0.8,0.533,1.1569076383429431e-9,5,Extl3
6.475308319848928e-14,0.49414319306875115,0.646,0.574,1.3720530798927892e-9,5,Hip1
6.669090175547785e-14,0.25125926725228676,0.477,0.179,1.4131135172968201e-9,5,Ifnar2
6.762677362826372e-14,0.4504047100861727,0.6,0.311,1.43294370640928e-9,5,Tmsb4x
7.282836341271055e-14,0.3283696476693255,0.585,0.227,1.5431601923519238e-9,5,Creb3l2
7.454466654619463e-14,0.5893891077297467,0.769,0.491,1.5795269394473179e-9,5,Cald1
8.212886576074164e-14,0.2467076206621912,0.462,0.169,1.7402285366043547e-9,5,Plekhg5
8.955594068492743e-14,0.3581060931547539,0.846,0.621,1.8976008271729274e-9,5,Gmds
1.3100045728668577e-13,0.2503697264517462,0.4,0.073,2.7757686894475848e-9,5,Lsr
1.3222521050039626e-13,0.39034825121761274,0.769,0.679,2.8017199852928963e-9,5,Rapgef4
1.4054946912147315e-13,0.5778596214762858,0.538,0.224,2.9781027012148946e-9,5,Tmtc4
1.4427066388601423e-13,0.4326647082827757,0.308,0.032,3.0569510970807553e-9,5,Cxcl12
1.5677172360249548e-13,0.5585967624851541,0.415,0.105,3.3218360514132767e-9,5,Ednra
1.8091905549303842e-13,0.27386937003543155,0.4,0.157,3.833493866841991e-9,5,Fgd5
1.99894706265843e-13,0.3339169706608669,0.954,0.486,4.235568931066947e-9,5,Dock1
2.2370512848540273e-13,0.3055147054183529,0.292,0.027,4.7400879674771986e-9,5,Tbx3os1
2.421905658451361e-13,0.3041083001449827,0.846,0.77,5.131775899692589e-9,5,Mef2a
2.6528108849449327e-13,0.26619467298741545,0.523,0.222,5.621040984109818e-9,5,Rell1
2.7036516469947e-13,0.3547714946121775,0.754,0.419,5.728767474817069e-9,5,Grb10
3.1500196915828714e-13,0.718380966165747,0.477,0.224,6.674576724494946e-9,5,Slco1c1
3.579031941540917e-13,0.4457283981245753,0.708,0.361,7.583610780931049e-9,5,Abca1
3.773335962377907e-13,0.2753677394914703,0.462,0.22,7.995321570682547e-9,5,St8sia4
3.7807851842259147e-13,0.4336244198981772,0.662,0.417,8.01110572685629e-9,5,Abhd2
4.569389603590048e-13,0.5717136956509868,0.769,0.676,9.682079631046953e-9,5,Ptprm
4.965576197347254e-13,0.34526207576189827,0.938,0.813,1.0521559404559097e-8,5,Zeb1
5.243795074994039e-13,0.25229957888708915,0.292,0.028,1.1111077384404869e-8,5,Lamc3
6.11740656121268e-13,0.3413518598417073,0.692,0.559,1.2962172762553548e-8,5,Ctnnd1
6.40249598936354e-13,0.32111388882448566,0.631,0.394,1.3566248751862405e-8,5,Gm15614
6.414557142255404e-13,0.3462586222813213,0.631,0.531,1.3591805128724976e-8,5,Dgkh
7.277385466938361e-13,0.25268843204845876,0.354,0.028,1.5420052065895694e-8,5,Nes
7.298833832232745e-13,0.3608109231768978,0.677,0.456,1.5465499007117965e-8,5,Rassf8
7.377130090519327e-13,0.4101605814428128,0.692,0.411,1.5631400948801403e-8,5,Myh9
9.632564552059535e-13,0.3272836261176838,0.631,0.222,2.041044102935895e-8,5,Elf1
1.0038139758302611e-12,0.26633028163279676,0.446,0.174,2.1269814333867405e-8,5,Sh2d3c
1.030026847031188e-12,0.34170046988533254,0.462,0.083,2.1825238861743843e-8,5,4930447N08Rik
