"gene","vglut2_clusters","galr1"
"Uggt1",0.36585365853658536,0.3333333333333333
"Neurl3",0.0040650406504065045,0
"Arid5a",0.014227642276422764,0
"4930403P22Rik",0.028455284552845527,0.1111111111111111
"Kansl3",0.3556910569105691,0.6666666666666666
"Fer1l5",0.006097560975609756,0
"Lman2l",0.28252032520325204,0.5555555555555556
"Cnnm4",0.036585365853658534,0.2222222222222222
"Cnnm3",0.20934959349593496,0.1111111111111111
"Gm38033",0.056910569105691054,0.1111111111111111
"Ankrd23",0.046747967479674794,0.1111111111111111
"Ankrd39",0.08130081300813008,0.1111111111111111
"Sema4c",0.0508130081300813,0
"D430040D24Rik",0.0020325203252032522,0.1111111111111111
"Fam178b",0.006097560975609756,0
"Cox5b",0.09552845528455285,0.2222222222222222
"Actr1b",0.4065040650406504,0.6666666666666666
"4933424G06Rik",0.0975609756097561,0
"Gm33533",0.054878048780487805,0.1111111111111111
"Zap70",0.024390243902439025,0
"Tmem131",0.42276422764227645,0.7777777777777778
"Gm38115",0.044715447154471545,0
"Vwa3b",0.022357723577235773,0.1111111111111111
"Gm37020",0,0
"Cnga3",0.0040650406504065045,0
"Inpp4a",0.4186991869918699,0.4444444444444444
"4930439A04Rik",0.006097560975609756,0
"Coa5",0.044715447154471545,0
"Unc50",0.10569105691056911,0
"Mgat4a",0.30691056910569103,0.4444444444444444
"2010300C02Rik",0.08943089430894309,0
"Tsga10",0.27439024390243905,0.5555555555555556
"Gm26805",0.01016260162601626,0
"Lipt1",0.0040650406504065045,0
"Mitd1",0.09552845528455285,0
"Mrpl30",0.06707317073170732,0
"Lyg2",0.0020325203252032522,0
"Gm15457",0.0020325203252032522,0
"Txndc9",0.11991869918699187,0.3333333333333333
"Eif5b",0.4613821138211382,0.8888888888888888
"Rev1",0.4410569105691057,0.4444444444444444
"Aff3",0.7357723577235772,0.8888888888888888
"Gm16150",0.06097560975609756,0
"Gm16151",0.014227642276422764,0
"Gm16152",0.17479674796747968,0.2222222222222222
"Lonrf2",0.32926829268292684,0.6666666666666666
"Chst10",0.2032520325203252,0.1111111111111111
"Pdcl3",0.046747967479674794,0
"Npas2",0.241869918699187,0.4444444444444444
"Rpl31",0.07926829268292683,0.1111111111111111
"Tbc1d8",0.29065040650406504,0.2222222222222222
"Cnot11",0.06097560975609756,0
"Rnf149",0.1483739837398374,0.2222222222222222
"Creg2",0.11178861788617886,0
"D930019O06Rik",0,0
"Rfx8",0.0040650406504065045,0
"Map4k4",0.6951219512195121,0.8888888888888888
"Il1r2",0.052845528455284556,0
"Gm16894",0.08739837398373984,0.2222222222222222
"Il1r1",0.046747967479674794,0.2222222222222222
"Il1rl2",0.008130081300813009,0.1111111111111111
"Il1rl1",0.0040650406504065045,0
"Slc9a2",0.014227642276422764,0
"Gm37623",0,0
"Gm37915",0.022357723577235773,0.1111111111111111
"Mfsd9",0.022357723577235773,0
"Tmem182",0.0040650406504065045,0
"Gm29260",0.008130081300813009,0
"Gm28175",0.06097560975609756,0.1111111111111111
"Pantr1",0.10975609756097561,0.1111111111111111
"Gm20646",0.04878048780487805,0.2222222222222222
"Pou3f3",0.09349593495934959,0.1111111111111111
"Pantr2",0.08333333333333333,0.2222222222222222
"Mrps9",0.22764227642276422,0.2222222222222222
"Gpr45",0.3638211382113821,0.6666666666666666
"Tgfbrap1",0.21951219512195122,0.2222222222222222
"8430432A02Rik",0,0
"AI597479",0.05894308943089431,0.1111111111111111
"Fhl2",0.044715447154471545,0
"Nck2",0.1910569105691057,0.1111111111111111
"Ecrg4",0.0040650406504065045,0
"Gm29155",0.0040650406504065045,0
"Uxs1",0.25203252032520324,0.2222222222222222
"Tpp2",0.35365853658536583,0.6666666666666666
"Mettl21c",0.034552845528455285,0.1111111111111111
"Gm8251",0.008130081300813009,0
"Tex30",0.034552845528455285,0
"Poglut2",0.0508130081300813,0.1111111111111111
"Bivm",0.11788617886178862,0.4444444444444444
"Ercc5",0.18495934959349594,0.3333333333333333
"Gulp1",0.3089430894308943,0.4444444444444444
"4930521E06Rik",0.0020325203252032522,0
"Col3a1",0.016260162601626018,0
"Col5a2",0.0508130081300813,0
"Wdr75",0.17479674796747968,0.1111111111111111
"Slc40a1",0.02032520325203252,0.1111111111111111
"Dnah7b",0.18902439024390244,0.3333333333333333
"Dnah7c",0.09146341463414634,0.2222222222222222
"Slc39a10",0.22560975609756098,0.3333333333333333
"Gm28151",0.0040650406504065045,0
"Gm28826",0,0
"C230029F24Rik",0.008130081300813009,0
"4933411E06Rik",0.0020325203252032522,0
"Tmeff2",0.7113821138211383,0.7777777777777778
"Gm28319",0.024390243902439025,0
"Gm28320",0.08943089430894309,0.2222222222222222
"Gm29325",0.022357723577235773,0
"9330175M20Rik",0.13414634146341464,0.3333333333333333
"Cavin2",0.022357723577235773,0
"Nabp1",0.04065040650406504,0.1111111111111111
"Gm17767",0.012195121951219513,0
"Gm28055",0.0508130081300813,0
"Myo1b",0.24390243902439024,0.3333333333333333
